sample_id,split,original_split,dataset_part,scene_name,camera,annotation_file,annotation_record_index,image_path,video_frame,local_class,global_person_id,bbox_x,bbox_y,bbox_w,bbox_h,image_width,image_height,bbox_area,exclusion_reason
aghri_00000051,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,50,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_495037499.png,50,07,person_07,210.105,199,10,25.79,640,360,257.895,
aghri_00000056,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,55,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_661303433.png,55,07,person_07,210,199.615,9,26,640,360,234,
aghri_00000061,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,60,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281273_862103312.png,60,07,person_07,210,200.641,9.453,26,640,360,245.777,
aghri_00000066,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,65,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_017746006.png,65,07,person_07,210,201.667,9.111,26,640,360,236.888,
aghri_00000071,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,70,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_183744580.png,70,07,person_07,209.678,202,9.322,26,640,360,242.368,
aghri_00000076,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,75,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_351747332.png,75,07,person_07,209.276,202,9.724,26,640,360,252.829,
aghri_00000081,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,80,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_531553126.png,80,07,person_07,209,201.883,9.766,26,640,360,253.912,
aghri_00000086,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,85,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_681174228.png,85,07,person_07,210,202,10,27,640,360,270,
aghri_00000091,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,90,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281274_844952188.png,90,07,person_07,210,202,9,27,640,360,243,
aghri_00000096,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,95,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_005044742.png,95,07,person_07,209,201.005,8.01,26,640,360,208.251,
aghri_00000101,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,100,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_168972426.png,100,07,person_07,208,202,10,27,640,360,270,
aghri_00000106,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,105,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_341964216.png,105,07,person_07,207.933,202.601,9,26,640,360,234,
aghri_00000111,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,110,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_538332392.png,110,07,person_07,209,205,9,26,640,360,234,
aghri_00000116,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,115,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_691060833.png,115,07,person_07,207,203.56,9.78,26,640,360,254.279,
aghri_00000121,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,120,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_872432049.png,120,07,person_07,208,204,9,26,640,360,234,
aghri_00000126,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,125,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_019710448.png,125,07,person_07,207,202.093,9.046,26,640,360,235.207,
aghri_00000131,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,130,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_193938633.png,130,07,person_07,206.593,201.796,8.593,26,640,360,223.41,
aghri_00000136,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,135,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_349901321.png,135,07,person_07,207,202,8,26,640,360,208,
aghri_00000141,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,140,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_510075823.png,140,07,person_07,207,204,6,25,640,360,150,
aghri_00000146,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,145,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_684489925.png,145,07,person_07,205.065,201.033,7.065,26,640,360,183.699,
aghri_00000151,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,150,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_832779765.png,150,07,person_07,204.827,200.827,7.173,26.519,640,360,190.223,
aghri_00000156,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,155,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_003125086.png,155,07,person_07,204.481,200.481,7.519,27.557,640,360,207.209,
aghri_00000161,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,160,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_165740468.png,160,07,person_07,204.192,200.192,7.808,28.423,640,360,221.913,
aghri_00000166,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,165,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_359944196.png,165,07,person_07,203.847,200.46,8.307,29,640,360,240.896,
aghri_00000171,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,170,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_522353690.png,170,07,person_07,203.463,201.61,9.074,29,640,360,263.136,
aghri_00000176,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,175,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_692263358.png,175,07,person_07,203.08,202.761,9.841,29,640,360,285.376,
aghri_00000181,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,180,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_854175167.png,180,07,person_07,200.296,202.549,9.549,29,640,360,276.933,
aghri_00000186,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,185,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_014767584.png,185,07,person_07,196.917,201.986,8.986,29,640,360,260.599,
aghri_00000191,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,190,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_182076262.png,190,07,person_07,193.538,201.423,8.423,29,640,360,244.265,
aghri_00000196,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,195,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_359636644.png,195,07,person_07,191,201,8,29,640,360,232,
aghri_00000201,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,200,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_516872357.png,200,07,person_07,188.133,200.283,8.358,29.717,640,360,248.382,
aghri_00000206,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,205,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_673183043.png,205,07,person_07,183,200,8,29,640,360,232,
aghri_00000211,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,210,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_835255440.png,210,07,person_07,183.355,199.089,8.956,30.911,640,360,276.827,
aghri_00000216,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,215,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_999747497.png,215,07,person_07,183,203,9,30,640,360,270,
aghri_00000221,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,220,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_193061651.png,220,07,person_07,179,203,9,30,640,360,270,
aghri_00000226,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,225,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_372865304.png,225,07,person_07,180,204,9,30,640,360,270,
aghri_00000231,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,230,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_518832342.png,230,07,person_07,179.661,203.492,9.113,30.113,640,360,274.415,
aghri_00000236,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,235,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_683071412.png,235,07,person_07,178,199,9,30,640,360,270,
aghri_00000241,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,240,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_846725217.png,240,07,person_07,176,196,10,31,640,360,310,
aghri_00000246,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,245,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_012347264.png,245,07,person_07,174.582,195.873,10.806,31.806,640,360,343.698,
aghri_00000251,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,250,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_182106555.png,250,07,person_07,174,194.392,11,32.152,640,360,353.673,
aghri_00000256,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,255,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_337547693.png,255,07,person_07,174,193.378,11,32.406,640,360,356.461,
aghri_00000261,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,260,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_521978565.png,260,07,person_07,174,192.364,11,32.659,640,360,359.249,
aghri_00000266,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,265,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_669841807.png,265,07,person_07,174,191.35,11,32.912,640,360,362.037,
aghri_00000271,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,270,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281280_832858623.png,270,07,person_07,175,192,10,32,640,360,320,
