sample_id,split,original_split,dataset_part,scene_name,camera,annotation_file,annotation_record_index,source_image_path,crop_path,video_frame,local_class,global_person_id,integer_identity_label,bbox_x,bbox_y,bbox_w,bbox_h,crop_width,crop_height
aghri_00000101,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,100,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_168972426.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000101_cam_fish_front_f000100.jpg,100,07,person_07,0,208,202,10,27,10,27
aghri_00000106,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,105,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_341964216.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000106_cam_fish_front_f000105.jpg,105,07,person_07,0,207.933,202.601,9,26,9,26
aghri_00000111,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,110,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_538332392.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000111_cam_fish_front_f000110.jpg,110,07,person_07,0,209,205,9,26,9,26
aghri_00000116,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,115,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_691060833.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000116_cam_fish_front_f000115.jpg,115,07,person_07,0,207,203.56,9.78,26,10,26
aghri_00000121,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,120,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281275_872432049.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000121_cam_fish_front_f000120.jpg,120,07,person_07,0,208,204,9,26,9,26
aghri_00000126,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,125,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_019710448.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000126_cam_fish_front_f000125.jpg,125,07,person_07,0,207,202.093,9.046,26,9,26
aghri_00000131,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,130,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_193938633.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000131_cam_fish_front_f000130.jpg,130,07,person_07,0,206.593,201.796,8.593,26,9,26
aghri_00000136,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,135,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_349901321.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000136_cam_fish_front_f000135.jpg,135,07,person_07,0,207,202,8,26,8,26
aghri_00000141,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,140,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_510075823.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000141_cam_fish_front_f000140.jpg,140,07,person_07,0,207,204,6,25,6,25
aghri_00000146,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,145,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_684489925.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000146_cam_fish_front_f000145.jpg,145,07,person_07,0,205.065,201.033,7.065,26,7,26
aghri_00000151,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,150,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281276_832779765.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000151_cam_fish_front_f000150.jpg,150,07,person_07,0,204.827,200.827,7.173,26.519,7,27
aghri_00000156,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,155,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_003125086.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000156_cam_fish_front_f000155.jpg,155,07,person_07,0,204.481,200.481,7.519,27.557,8,28
aghri_00000161,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,160,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_165740468.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000161_cam_fish_front_f000160.jpg,160,07,person_07,0,204.192,200.192,7.808,28.423,8,28
aghri_00000166,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,165,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_359944196.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000166_cam_fish_front_f000165.jpg,165,07,person_07,0,203.847,200.46,8.307,29,8,29
aghri_00000171,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,170,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_522353690.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000171_cam_fish_front_f000170.jpg,170,07,person_07,0,203.463,201.61,9.074,29,9,29
aghri_00000176,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,175,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_692263358.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000176_cam_fish_front_f000175.jpg,175,07,person_07,0,203.08,202.761,9.841,29,10,29
aghri_00000181,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,180,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281277_854175167.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000181_cam_fish_front_f000180.jpg,180,07,person_07,0,200.296,202.549,9.549,29,10,29
aghri_00000186,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,185,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_014767584.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000186_cam_fish_front_f000185.jpg,185,07,person_07,0,196.917,201.986,8.986,29,9,29
aghri_00000191,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,190,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_182076262.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000191_cam_fish_front_f000190.jpg,190,07,person_07,0,193.538,201.423,8.423,29,8,29
aghri_00000196,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,195,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_359636644.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000196_cam_fish_front_f000195.jpg,195,07,person_07,0,191,201,8,29,8,29
aghri_00000201,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,200,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_516872357.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000201_cam_fish_front_f000200.jpg,200,07,person_07,0,188.133,200.283,8.358,29.717,8,30
aghri_00000206,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,205,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_673183043.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000206_cam_fish_front_f000205.jpg,205,07,person_07,0,183,200,8,29,8,29
aghri_00000211,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,210,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_835255440.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000211_cam_fish_front_f000210.jpg,210,07,person_07,0,183.355,199.089,8.956,30.911,9,31
aghri_00000216,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,215,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281278_999747497.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000216_cam_fish_front_f000215.jpg,215,07,person_07,0,183,203,9,30,9,30
aghri_00000221,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,220,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_193061651.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000221_cam_fish_front_f000220.jpg,220,07,person_07,0,179,203,9,30,9,30
aghri_00000226,train,train,dataset_part2,in_straw_2pick_diff_mv_10_10_2024_2_a_label,cam_fish_front,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/annotations/cam_fish_front_ann.json,225,/media/prabuddhi/Backup2/Updated Dataset_PW/dataset_part2/in_straw_2pick_diff_mv_10_10_2024_2_a_label/sensor_data/cam_fish_front/1730281279_372865304.png,/tmp/aghri_reid_stage1_export/crops/train/person_07/aghri_00000226_cam_fish_front_f000225.jpg,225,07,person_07,0,180,204,9,30,9,30
